run_id,algorithm,episode_window_start,episode_window_end,cliff_fall_count,cliff_fall_rate_overall,avg_reward_100_eps
20251122_120127,SARSA,1,100,98,98,-121.22
20251122_120127,SARSA,101,200,92,190,-154.82
20251122_120127,SARSA,201,300,60,250,-131.95
20251122_120127,SARSA,301,400,22,272,-71.4
20251122_120127,SARSA,401,500,9,281,-47.65
20251122_120127,SARSA,501,600,10,291,-35.03
20251122_120127,SARSA,601,700,2,293,-26.75
20251122_120127,SARSA,701,800,0,293,-23.04
20251122_120127,SARSA,801,900,0,293,-21.98
20251122_120127,SARSA,901,1000,1,294,-22.15
20251122_120127,SARSA,1001,1100,0,294,-21.13
20251122_120127,SARSA,1101,1200,0,294,-20.94
20251122_120127,SARSA,1201,1300,0,294,-20.82
20251122_120127,SARSA,1301,1400,0,294,-20.3
20251122_120127,SARSA,1401,1500,0,294,-20.54
20251122_120127,SARSA,1501,1600,0,294,-20.63
20251122_120127,SARSA,1601,1700,0,294,-20.37
20251122_120127,SARSA,1701,1800,0,294,-20.51
20251122_120127,SARSA,1801,1900,0,294,-20.57
20251122_120127,SARSA,1901,2000,0,294,-20.49
20251122_120127,SARSA,2001,2100,0,294,-20.67
20251122_120127,SARSA,2101,2200,0,294,-20.63
20251122_120127,SARSA,2201,2300,0,294,-20.61
20251122_120127,SARSA,2301,2400,0,294,-20.44
20251122_120127,SARSA,2401,2500,0,294,-20.67
20251122_120127,SARSA,2501,2600,0,294,-20.63
20251122_120127,SARSA,2601,2700,0,294,-20.57
20251122_120127,SARSA,2701,2800,0,294,-20.55
20251122_120127,SARSA,2801,2900,0,294,-20.58
20251122_120127,SARSA,2901,3000,0,294,-20.55
20251122_120127,SARSA,3001,3100,0,294,-20.62
20251122_120127,SARSA,3101,3200,0,294,-20.61
20251122_120127,SARSA,3201,3300,0,294,-20.43
20251122_120127,SARSA,3301,3400,0,294,-20.5
20251122_120127,SARSA,3401,3500,0,294,-20.65
20251122_120127,SARSA,3501,3600,0,294,-20.54
20251122_120127,SARSA,3601,3700,0,294,-20.56
20251122_120127,SARSA,3701,3800,0,294,-20.57
20251122_120127,SARSA,3801,3900,0,294,-20.64
20251122_120127,SARSA,3901,4000,0,294,-20.58
20251122_120127,SARSA,4001,4100,0,294,-20.5
20251122_120127,SARSA,4101,4200,0,294,-20.5
20251122_120127,SARSA,4201,4300,0,294,-20.47
20251122_120127,SARSA,4301,4400,0,294,-20.45
20251122_120127,SARSA,4401,4500,0,294,-20.45
20251122_120127,SARSA,4501,4600,0,294,-20.6
20251122_120127,SARSA,4601,4700,0,294,-20.66
20251122_120127,SARSA,4701,4800,0,294,-20.58
20251122_120127,SARSA,4801,4900,0,294,-20.58
20251122_120127,SARSA,4901,5000,0,294,-20.51
20251122_120127,SARSA,5001,5100,0,294,-20.51
20251122_120127,SARSA,5101,5200,0,294,-20.49
20251122_120127,SARSA,5201,5300,0,294,-20.35
20251122_120127,SARSA,5301,5400,0,294,-20.61
20251122_120127,SARSA,5401,5500,1,295,-21.47
20251122_120127,SARSA,5501,5600,1,296,-21.4
20251122_120127,SARSA,5601,5700,0,296,-20.45
20251122_120127,SARSA,5701,5800,0,296,-20.41
20251122_120127,SARSA,5801,5900,0,296,-20.54
20251122_120127,SARSA,5901,6000,0,296,-20.55
20251122_120127,SARSA,6001,6100,0,296,-20.48
20251122_120127,SARSA,6101,6200,1,297,-21.57
20251122_120127,SARSA,6201,6300,0,297,-20.34
20251122_120127,SARSA,6301,6400,0,297,-20.67
20251122_120127,SARSA,6401,6500,0,297,-20.48
20251122_120127,SARSA,6501,6600,0,297,-20.58
20251122_120127,SARSA,6601,6700,0,297,-20.46
20251122_120127,SARSA,6701,6800,0,297,-20.59
20251122_120127,SARSA,6801,6900,0,297,-20.49
20251122_120127,SARSA,6901,7000,0,297,-20.44
20251122_120127,SARSA,7001,7100,0,297,-20.68
20251122_120127,SARSA,7101,7200,0,297,-20.53
20251122_120127,SARSA,7201,7300,0,297,-20.59
20251122_120127,SARSA,7301,7400,1,298,-21.45
20251122_120127,SARSA,7401,7500,1,299,-21.55
20251122_120127,SARSA,7501,7600,0,299,-20.63
20251122_120127,SARSA,7601,7700,0,299,-20.47
20251122_120127,SARSA,7701,7800,0,299,-20.48
20251122_120127,SARSA,7801,7900,0,299,-20.56
20251122_120127,SARSA,7901,8000,0,299,-20.52
20251122_120127,SARSA,8001,8100,0,299,-20.37
20251122_120127,SARSA,8101,8200,0,299,-20.56
20251122_120127,SARSA,8201,8300,0,299,-20.54
20251122_120127,SARSA,8301,8400,0,299,-20.6
20251122_120127,SARSA,8401,8500,0,299,-20.4
20251122_120127,SARSA,8501,8600,0,299,-20.79
20251122_120127,SARSA,8601,8700,0,299,-20.47
20251122_120127,SARSA,8701,8800,0,299,-20.56
20251122_120127,SARSA,8801,8900,0,299,-20.61
20251122_120127,SARSA,8901,9000,0,299,-20.59
20251122_120127,SARSA,9001,9100,0,299,-20.38
20251122_120127,SARSA,9101,9200,0,299,-20.44
20251122_120127,SARSA,9201,9300,0,299,-20.54
20251122_120127,SARSA,9301,9400,0,299,-20.36
20251122_120127,SARSA,9401,9500,0,299,-20.49
20251122_120127,SARSA,9501,9600,0,299,-20.53
20251122_120127,SARSA,9601,9700,0,299,-20.49
20251122_120127,SARSA,9701,9800,0,299,-20.4
20251122_120127,SARSA,9801,9900,0,299,-20.61
20251122_120127,SARSA,9901,10000,0,299,-20.49
20251122_120128,SARSA,1,100,95,95,-117.3
20251122_120128,SARSA,101,200,83,178,-152.31
20251122_120128,SARSA,201,300,60,238,-160.98
20251122_120128,SARSA,301,400,27,265,-68.1
20251122_120128,SARSA,401,500,10,275,-46.01
20251122_120128,SARSA,501,600,5,280,-32.24
20251122_120128,SARSA,601,700,7,287,-25.71
20251122_120128,SARSA,701,800,5,292,-10.63
20251122_120128,SARSA,801,900,4,296,-9.15
20251122_120128,SARSA,901,1000,2,298,-6.92
20251122_120128,SARSA,1001,1100,3,301,-9.73
20251122_120128,SARSA,1101,1200,2,303,-7.51
20251122_120128,SARSA,1201,1300,2,305,-6.09
20251122_120128,SARSA,1301,1400,2,307,-7.7
20251122_120128,SARSA,1401,1500,0,307,-4.59
20251122_120128,SARSA,1501,1600,0,307,-4.27
20251122_120128,SARSA,1601,1700,0,307,-4.1
20251122_120128,SARSA,1701,1800,2,309,-12.24
20251122_120128,SARSA,1801,1900,0,309,-4.08
20251122_120128,SARSA,1901,2000,1,310,-5.42
20251122_120128,SARSA,2001,2100,1,311,-6.44
20251122_120128,SARSA,2101,2200,1,312,-5.06
20251122_120128,SARSA,2201,2300,2,314,-9.04
20251122_120128,SARSA,2301,2400,0,314,-4.59
20251122_120128,SARSA,2401,2500,1,315,-5.22
20251122_120128,SARSA,2501,2600,2,317,-7.31
20251122_120128,SARSA,2601,2700,0,317,-4.31
20251122_120128,SARSA,2701,2800,0,317,-4.24
20251122_120128,SARSA,2801,2900,3,320,-11.9
20251122_120128,SARSA,2901,3000,2,322,-6.05
20251122_120128,SARSA,3001,3100,2,324,-7.64
20251122_120128,SARSA,3101,3200,1,325,-6.03
20251122_120128,SARSA,3201,3300,1,326,-6.07
20251122_120128,SARSA,3301,3400,0,326,-4.24
20251122_120128,SARSA,3401,3500,0,326,-4.47
20251122_120128,SARSA,3501,3600,0,326,-4.21
20251122_120128,SARSA,3601,3700,1,327,-5.22
20251122_120128,SARSA,3701,3800,2,329,-11.73
20251122_120128,SARSA,3801,3900,0,329,-4.15
20251122_120128,SARSA,3901,4000,0,329,-4.43
20251122_120128,SARSA,4001,4100,0,329,-4.19
20251122_120128,SARSA,4101,4200,4,333,-18.29
20251122_120128,SARSA,4201,4300,0,333,-20.77
20251122_120128,SARSA,4301,4400,0,333,-20.49
20251122_120128,SARSA,4401,4500,0,333,-20.58
20251122_120128,SARSA,4501,4600,0,333,-20.57
20251122_120128,SARSA,4601,4700,0,333,-20.49
20251122_120128,SARSA,4701,4800,0,333,-20.57
20251122_120128,SARSA,4801,4900,0,333,-20.57
20251122_120128,SARSA,4901,5000,0,333,-20.53
20251122_120128,SARSA,5001,5100,0,333,-20.47
20251122_120128,SARSA,5101,5200,0,333,-20.41
20251122_120128,SARSA,5201,5300,0,333,-20.47
20251122_120128,SARSA,5301,5400,0,333,-20.52
20251122_120128,SARSA,5401,5500,0,333,-20.37
20251122_120128,SARSA,5501,5600,0,333,-20.51
20251122_120128,SARSA,5601,5700,0,333,-20.38
20251122_120128,SARSA,5701,5800,0,333,-20.63
20251122_120128,SARSA,5801,5900,0,333,-20.6
20251122_120128,SARSA,5901,6000,1,334,-21.45
20251122_120128,SARSA,6001,6100,0,334,-20.53
20251122_120128,SARSA,6101,6200,0,334,-20.48
20251122_120128,SARSA,6201,6300,0,334,-20.55
20251122_120128,SARSA,6301,6400,0,334,-20.28
20251122_120128,SARSA,6401,6500,0,334,-20.51
20251122_120128,SARSA,6501,6600,1,335,-21.2
20251122_120128,SARSA,6601,6700,0,335,-20.86
20251122_120128,SARSA,6701,6800,0,335,-20.57
20251122_120128,SARSA,6801,6900,0,335,-20.51
20251122_120128,SARSA,6901,7000,0,335,-20.45
20251122_120128,SARSA,7001,7100,0,335,-20.53
20251122_120128,SARSA,7101,7200,0,335,-20.51
20251122_120128,SARSA,7201,7300,0,335,-20.63
20251122_120128,SARSA,7301,7400,0,335,-20.52
20251122_120128,SARSA,7401,7500,0,335,-20.65
20251122_120128,SARSA,7501,7600,0,335,-20.41
20251122_120128,SARSA,7601,7700,0,335,-20.55
20251122_120128,SARSA,7701,7800,0,335,-20.57
20251122_120128,SARSA,7801,7900,0,335,-20.24
20251122_120128,SARSA,7901,8000,0,335,-20.46
20251122_120128,SARSA,8001,8100,0,335,-20.54
20251122_120128,SARSA,8101,8200,1,336,-21.52
20251122_120128,SARSA,8201,8300,0,336,-20.55
20251122_120128,SARSA,8301,8400,1,337,-21.39
20251122_120128,SARSA,8401,8500,0,337,-20.65
20251122_120128,SARSA,8501,8600,0,337,-20.58
20251122_120128,SARSA,8601,8700,0,337,-20.58
20251122_120128,SARSA,8701,8800,0,337,-20.49
20251122_120128,SARSA,8801,8900,0,337,-20.63
20251122_120128,SARSA,8901,9000,0,337,-20.63
20251122_120128,SARSA,9001,9100,0,337,-20.61
20251122_120128,SARSA,9101,9200,0,337,-20.29
20251122_120128,SARSA,9201,9300,0,337,-20.67
20251122_120128,SARSA,9301,9400,0,337,-20.63
20251122_120128,SARSA,9401,9500,0,337,-20.35
20251122_120128,SARSA,9501,9600,0,337,-20.59
20251122_120128,SARSA,9601,9700,0,337,-20.79
20251122_120128,SARSA,9701,9800,0,337,-20.47
20251122_120128,SARSA,9801,9900,0,337,-20.47
20251122_120128,SARSA,9901,10000,0,337,-20.44
20251122_120129,SARSA,1,100,93,93,-112.02
20251122_120129,SARSA,101,200,73,166,-135.08
20251122_120129,SARSA,201,300,48,214,-126.56
20251122_120129,SARSA,301,400,36,250,-93.08
20251122_120129,SARSA,401,500,13,263,-51.16
20251122_120129,SARSA,501,600,7,270,-35.04
20251122_120129,SARSA,601,700,0,270,-27.51
20251122_120129,SARSA,701,800,1,271,-26.01
20251122_120129,SARSA,801,900,2,273,-25.68
20251122_120129,SARSA,901,1000,0,273,-23.54
20251122_120129,SARSA,1001,1100,0,273,-23.28
20251122_120129,SARSA,1101,1200,0,273,-22.87
20251122_120129,SARSA,1201,1300,0,273,-22.65
20251122_120129,SARSA,1301,1400,0,273,-22.71
20251122_120129,SARSA,1401,1500,0,273,-22.45
20251122_120129,SARSA,1501,1600,0,273,-22.47
20251122_120129,SARSA,1601,1700,0,273,-22.59
20251122_120129,SARSA,1701,1800,0,273,-22.52
20251122_120129,SARSA,1801,1900,0,273,-22.48
20251122_120129,SARSA,1901,2000,0,273,-22.54
20251122_120129,SARSA,2001,2100,0,273,-22.71
20251122_120129,SARSA,2101,2200,0,273,-22.34
20251122_120129,SARSA,2201,2300,1,274,-23.63
20251122_120129,SARSA,2301,2400,0,274,-22.65
20251122_120129,SARSA,2401,2500,0,274,-22.65
20251122_120129,SARSA,2501,2600,0,274,-22.85
20251122_120129,SARSA,2601,2700,0,274,-22.58
20251122_120129,SARSA,2701,2800,0,274,-22.48
20251122_120129,SARSA,2801,2900,0,274,-22.67
20251122_120129,SARSA,2901,3000,0,274,-22.6
20251122_120129,SARSA,3001,3100,0,274,-22.59
20251122_120129,SARSA,3101,3200,0,274,-22.61
20251122_120129,SARSA,3201,3300,0,274,-22.64
20251122_120129,SARSA,3301,3400,0,274,-22.59
20251122_120129,SARSA,3401,3500,0,274,-22.61
20251122_120129,SARSA,3501,3600,0,274,-22.41
20251122_120129,SARSA,3601,3700,0,274,-22.58
20251122_120129,SARSA,3701,3800,0,274,-22.52
20251122_120129,SARSA,3801,3900,0,274,-22.51
20251122_120129,SARSA,3901,4000,0,274,-22.69
20251122_120129,SARSA,4001,4100,0,274,-22.51
20251122_120129,SARSA,4101,4200,0,274,-22.48
20251122_120129,SARSA,4201,4300,0,274,-22.5
20251122_120129,SARSA,4301,4400,0,274,-22.6
20251122_120129,SARSA,4401,4500,0,274,-22.8
20251122_120129,SARSA,4501,4600,0,274,-22.52
20251122_120129,SARSA,4601,4700,0,274,-22.63
20251122_120129,SARSA,4701,4800,0,274,-22.5
20251122_120129,SARSA,4801,4900,0,274,-22.56
20251122_120129,SARSA,4901,5000,0,274,-22.64
20251122_120129,SARSA,5001,5100,0,274,-22.48
20251122_120129,SARSA,5101,5200,0,274,-22.7
20251122_120129,SARSA,5201,5300,0,274,-22.42
20251122_120129,SARSA,5301,5400,0,274,-22.73
20251122_120129,SARSA,5401,5500,0,274,-22.41
20251122_120129,SARSA,5501,5600,0,274,-22.56
20251122_120129,SARSA,5601,5700,0,274,-22.69
20251122_120129,SARSA,5701,5800,0,274,-22.52
20251122_120129,SARSA,5801,5900,0,274,-22.72
20251122_120129,SARSA,5901,6000,0,274,-22.52
20251122_120129,SARSA,6001,6100,0,274,-22.66
20251122_120129,SARSA,6101,6200,0,274,-22.45
20251122_120129,SARSA,6201,6300,0,274,-22.46
20251122_120129,SARSA,6301,6400,0,274,-22.64
20251122_120129,SARSA,6401,6500,0,274,-22.5
20251122_120129,SARSA,6501,6600,0,274,-22.49
20251122_120129,SARSA,6601,6700,0,274,-22.47
20251122_120129,SARSA,6701,6800,0,274,-22.57
20251122_120129,SARSA,6801,6900,0,274,-22.5
20251122_120129,SARSA,6901,7000,0,274,-22.56
20251122_120129,SARSA,7001,7100,0,274,-22.59
20251122_120129,SARSA,7101,7200,0,274,-22.57
20251122_120129,SARSA,7201,7300,0,274,-22.66
20251122_120129,SARSA,7301,7400,0,274,-22.69
20251122_120129,SARSA,7401,7500,0,274,-22.71
20251122_120129,SARSA,7501,7600,0,274,-22.49
20251122_120129,SARSA,7601,7700,0,274,-22.43
20251122_120129,SARSA,7701,7800,1,275,-23.45
20251122_120129,SARSA,7801,7900,0,275,-22.54
20251122_120129,SARSA,7901,8000,0,275,-22.71
20251122_120129,SARSA,8001,8100,1,276,-23.31
20251122_120129,SARSA,8101,8200,0,276,-22.6
20251122_120129,SARSA,8201,8300,0,276,-22.7
20251122_120129,SARSA,8301,8400,0,276,-22.76
20251122_120129,SARSA,8401,8500,0,276,-22.59
20251122_120129,SARSA,8501,8600,0,276,-22.57
20251122_120129,SARSA,8601,8700,0,276,-22.47
20251122_120129,SARSA,8701,8800,0,276,-22.7
20251122_120129,SARSA,8801,8900,0,276,-22.54
20251122_120129,SARSA,8901,9000,0,276,-22.56
20251122_120129,SARSA,9001,9100,0,276,-22.51
20251122_120129,SARSA,9101,9200,0,276,-22.56
20251122_120129,SARSA,9201,9300,0,276,-22.49
20251122_120129,SARSA,9301,9400,0,276,-22.54
20251122_120129,SARSA,9401,9500,0,276,-22.61
20251122_120129,SARSA,9501,9600,0,276,-22.53
20251122_120129,SARSA,9601,9700,0,276,-22.48
20251122_120129,SARSA,9701,9800,0,276,-22.54
20251122_120129,SARSA,9801,9900,0,276,-22.43
20251122_120129,SARSA,9901,10000,0,276,-22.51
20251122_120130,SARSA,1,100,97,97,-125.98
20251122_120130,SARSA,101,200,88,185,-178.03
20251122_120130,SARSA,201,300,66,251,-168.69
20251122_120130,SARSA,301,400,19,270,-82.14
20251122_120130,SARSA,401,500,7,277,-39.72
20251122_120130,SARSA,501,600,2,279,-30.53
20251122_120130,SARSA,601,700,4,283,-29.67
20251122_120130,SARSA,701,800,1,284,-26.02
20251122_120130,SARSA,801,900,1,285,-24.74
20251122_120130,SARSA,901,1000,0,285,-23.34
20251122_120130,SARSA,1001,1100,0,285,-23.33
20251122_120130,SARSA,1101,1200,0,285,-22.78
20251122_120130,SARSA,1201,1300,0,285,-22.82
20251122_120130,SARSA,1301,1400,0,285,-22.48
20251122_120130,SARSA,1401,1500,0,285,-22.41
20251122_120130,SARSA,1501,1600,0,285,-22.45
20251122_120130,SARSA,1601,1700,0,285,-22.74
20251122_120130,SARSA,1701,1800,0,285,-22.48
20251122_120130,SARSA,1801,1900,0,285,-22.53
20251122_120130,SARSA,1901,2000,0,285,-22.67
20251122_120130,SARSA,2001,2100,0,285,-22.6
20251122_120130,SARSA,2101,2200,0,285,-22.54
20251122_120130,SARSA,2201,2300,0,285,-22.63
20251122_120130,SARSA,2301,2400,0,285,-22.49
20251122_120130,SARSA,2401,2500,0,285,-22.59
20251122_120130,SARSA,2501,2600,0,285,-22.7
20251122_120130,SARSA,2601,2700,0,285,-22.83
20251122_120130,SARSA,2701,2800,0,285,-22.53
20251122_120130,SARSA,2801,2900,0,285,-22.53
20251122_120130,SARSA,2901,3000,0,285,-22.55
20251122_120130,SARSA,3001,3100,0,285,-22.57
20251122_120130,SARSA,3101,3200,0,285,-22.57
20251122_120130,SARSA,3201,3300,0,285,-22.66
20251122_120130,SARSA,3301,3400,0,285,-22.5
20251122_120130,SARSA,3401,3500,0,285,-22.61
20251122_120130,SARSA,3501,3600,0,285,-22.38
20251122_120130,SARSA,3601,3700,0,285,-22.43
20251122_120130,SARSA,3701,3800,0,285,-22.71
20251122_120130,SARSA,3801,3900,0,285,-22.62
20251122_120130,SARSA,3901,4000,0,285,-22.47
20251122_120130,SARSA,4001,4100,0,285,-22.48
20251122_120130,SARSA,4101,4200,0,285,-22.55
20251122_120130,SARSA,4201,4300,0,285,-22.63
20251122_120130,SARSA,4301,4400,0,285,-22.39
20251122_120130,SARSA,4401,4500,0,285,-22.51
20251122_120130,SARSA,4501,4600,0,285,-22.39
20251122_120130,SARSA,4601,4700,0,285,-22.47
20251122_120130,SARSA,4701,4800,0,285,-22.6
20251122_120130,SARSA,4801,4900,0,285,-22.53
20251122_120130,SARSA,4901,5000,0,285,-22.6
20251122_120130,SARSA,5001,5100,0,285,-22.58
20251122_120130,SARSA,5101,5200,0,285,-22.46
20251122_120130,SARSA,5201,5300,0,285,-22.59
20251122_120130,SARSA,5301,5400,0,285,-22.4
20251122_120130,SARSA,5401,5500,0,285,-22.44
20251122_120130,SARSA,5501,5600,0,285,-22.41
20251122_120130,SARSA,5601,5700,0,285,-22.6
20251122_120130,SARSA,5701,5800,0,285,-22.56
20251122_120130,SARSA,5801,5900,0,285,-22.5
20251122_120130,SARSA,5901,6000,0,285,-22.6
20251122_120130,SARSA,6001,6100,0,285,-22.45
20251122_120130,SARSA,6101,6200,0,285,-22.51
20251122_120130,SARSA,6201,6300,0,285,-22.5
20251122_120130,SARSA,6301,6400,0,285,-22.42
20251122_120130,SARSA,6401,6500,0,285,-22.44
20251122_120130,SARSA,6501,6600,0,285,-22.64
20251122_120130,SARSA,6601,6700,0,285,-22.56
20251122_120130,SARSA,6701,6800,0,285,-22.64
20251122_120130,SARSA,6801,6900,0,285,-22.46
20251122_120130,SARSA,6901,7000,1,286,-23.58
20251122_120130,SARSA,7001,7100,0,286,-22.52
20251122_120130,SARSA,7101,7200,0,286,-22.52
20251122_120130,SARSA,7201,7300,0,286,-22.46
20251122_120130,SARSA,7301,7400,0,286,-22.56
20251122_120130,SARSA,7401,7500,0,286,-22.46
20251122_120130,SARSA,7501,7600,0,286,-22.45
20251122_120130,SARSA,7601,7700,0,286,-22.46
20251122_120130,SARSA,7701,7800,0,286,-22.41
20251122_120130,SARSA,7801,7900,0,286,-22.4
20251122_120130,SARSA,7901,8000,0,286,-22.78
20251122_120130,SARSA,8001,8100,0,286,-22.46
20251122_120130,SARSA,8101,8200,0,286,-22.68
20251122_120130,SARSA,8201,8300,0,286,-22.67
20251122_120130,SARSA,8301,8400,0,286,-22.45
20251122_120130,SARSA,8401,8500,0,286,-22.39
20251122_120130,SARSA,8501,8600,0,286,-22.51
20251122_120130,SARSA,8601,8700,0,286,-22.81
20251122_120130,SARSA,8701,8800,0,286,-22.58
20251122_120130,SARSA,8801,8900,0,286,-22.41
20251122_120130,SARSA,8901,9000,0,286,-22.71
20251122_120130,SARSA,9001,9100,0,286,-22.64
20251122_120130,SARSA,9101,9200,0,286,-22.6
20251122_120130,SARSA,9201,9300,0,286,-22.56
20251122_120130,SARSA,9301,9400,0,286,-22.55
20251122_120130,SARSA,9401,9500,0,286,-22.5
20251122_120130,SARSA,9501,9600,0,286,-22.59
20251122_120130,SARSA,9601,9700,0,286,-22.63
20251122_120130,SARSA,9701,9800,0,286,-22.55
20251122_120130,SARSA,9801,9900,0,286,-22.85
20251122_120130,SARSA,9901,10000,0,286,-22.66
20251122_120131,SARSA,1,100,91,91,-109.06
20251122_120131,SARSA,101,200,81,172,-142.12
20251122_120131,SARSA,201,300,49,221,-141.89
20251122_120131,SARSA,301,400,24,245,-79.49
20251122_120131,SARSA,401,500,12,257,-47.29
20251122_120131,SARSA,501,600,4,261,-31.14
20251122_120131,SARSA,601,700,5,266,-13.5
20251122_120131,SARSA,701,800,5,271,-10.87
20251122_120131,SARSA,801,900,6,277,-14.45
20251122_120131,SARSA,901,1000,3,280,-9.48
20251122_120131,SARSA,1001,1100,3,283,-19.37
20251122_120131,SARSA,1101,1200,0,283,-20.91
20251122_120131,SARSA,1201,1300,0,283,-20.72
20251122_120131,SARSA,1301,1400,0,283,-20.48
20251122_120131,SARSA,1401,1500,0,283,-20.47
20251122_120131,SARSA,1501,1600,0,283,-20.51
20251122_120131,SARSA,1601,1700,0,283,-20.58
20251122_120131,SARSA,1701,1800,0,283,-20.46
20251122_120131,SARSA,1801,1900,0,283,-20.62
20251122_120131,SARSA,1901,2000,0,283,-20.5
20251122_120131,SARSA,2001,2100,0,283,-20.37
20251122_120131,SARSA,2101,2200,0,283,-20.51
20251122_120131,SARSA,2201,2300,0,283,-20.57
20251122_120131,SARSA,2301,2400,0,283,-20.6
20251122_120131,SARSA,2401,2500,0,283,-20.54
20251122_120131,SARSA,2501,2600,0,283,-20.39
20251122_120131,SARSA,2601,2700,0,283,-20.44
20251122_120131,SARSA,2701,2800,0,283,-20.54
20251122_120131,SARSA,2801,2900,0,283,-20.42
20251122_120131,SARSA,2901,3000,0,283,-20.43
20251122_120131,SARSA,3001,3100,0,283,-20.45
20251122_120131,SARSA,3101,3200,0,283,-20.51
20251122_120131,SARSA,3201,3300,0,283,-20.48
20251122_120131,SARSA,3301,3400,0,283,-20.53
20251122_120131,SARSA,3401,3500,0,283,-20.55
20251122_120131,SARSA,3501,3600,0,283,-20.42
20251122_120131,SARSA,3601,3700,0,283,-20.34
20251122_120131,SARSA,3701,3800,0,283,-20.45
20251122_120131,SARSA,3801,3900,0,283,-20.6
20251122_120131,SARSA,3901,4000,0,283,-20.58
20251122_120131,SARSA,4001,4100,0,283,-20.41
20251122_120131,SARSA,4101,4200,0,283,-20.43
20251122_120131,SARSA,4201,4300,0,283,-20.74
20251122_120131,SARSA,4301,4400,0,283,-20.46
20251122_120131,SARSA,4401,4500,1,284,-21.31
20251122_120131,SARSA,4501,4600,0,284,-20.49
20251122_120131,SARSA,4601,4700,0,284,-20.51
20251122_120131,SARSA,4701,4800,1,285,-21.68
20251122_120131,SARSA,4801,4900,0,285,-20.59
20251122_120131,SARSA,4901,5000,0,285,-20.63
20251122_120131,SARSA,5001,5100,0,285,-20.37
20251122_120131,SARSA,5101,5200,0,285,-20.59
20251122_120131,SARSA,5201,5300,0,285,-20.34
20251122_120131,SARSA,5301,5400,0,285,-20.39
20251122_120131,SARSA,5401,5500,0,285,-20.5
20251122_120131,SARSA,5501,5600,0,285,-20.42
20251122_120131,SARSA,5601,5700,0,285,-20.7
20251122_120131,SARSA,5701,5800,0,285,-20.54
20251122_120131,SARSA,5801,5900,0,285,-20.38
20251122_120131,SARSA,5901,6000,1,286,-21.46
20251122_120131,SARSA,6001,6100,1,287,-21.58
20251122_120131,SARSA,6101,6200,0,287,-20.42
20251122_120131,SARSA,6201,6300,0,287,-20.53
20251122_120131,SARSA,6301,6400,0,287,-20.48
20251122_120131,SARSA,6401,6500,0,287,-20.68
20251122_120131,SARSA,6501,6600,0,287,-20.52
20251122_120131,SARSA,6601,6700,0,287,-20.47
20251122_120131,SARSA,6701,6800,0,287,-20.45
20251122_120131,SARSA,6801,6900,0,287,-20.55
20251122_120131,SARSA,6901,7000,0,287,-20.58
20251122_120131,SARSA,7001,7100,0,287,-20.29
20251122_120131,SARSA,7101,7200,0,287,-20.39
20251122_120131,SARSA,7201,7300,0,287,-20.37
20251122_120131,SARSA,7301,7400,0,287,-20.46
20251122_120131,SARSA,7401,7500,0,287,-20.46
20251122_120131,SARSA,7501,7600,0,287,-20.32
20251122_120131,SARSA,7601,7700,0,287,-20.53
20251122_120131,SARSA,7701,7800,0,287,-20.52
20251122_120131,SARSA,7801,7900,1,288,-21.24
20251122_120131,SARSA,7901,8000,0,288,-20.58
20251122_120131,SARSA,8001,8100,0,288,-20.4
20251122_120131,SARSA,8101,8200,0,288,-20.53
20251122_120131,SARSA,8201,8300,0,288,-20.45
20251122_120131,SARSA,8301,8400,0,288,-20.64
20251122_120131,SARSA,8401,8500,0,288,-20.49
20251122_120131,SARSA,8501,8600,0,288,-20.47
20251122_120131,SARSA,8601,8700,0,288,-20.45
20251122_120131,SARSA,8701,8800,0,288,-20.76
20251122_120131,SARSA,8801,8900,0,288,-20.26
20251122_120131,SARSA,8901,9000,0,288,-20.49
20251122_120131,SARSA,9001,9100,0,288,-20.61
20251122_120131,SARSA,9101,9200,0,288,-20.61
20251122_120131,SARSA,9201,9300,0,288,-20.54
20251122_120131,SARSA,9301,9400,0,288,-20.67
20251122_120131,SARSA,9401,9500,0,288,-20.43
20251122_120131,SARSA,9501,9600,0,288,-20.42
20251122_120131,SARSA,9601,9700,0,288,-20.66
20251122_120131,SARSA,9701,9800,0,288,-20.68
20251122_120131,SARSA,9801,9900,2,290,-22.31
20251122_120131,SARSA,9901,10000,0,290,-20.47
20251122_120132,SARSA,1,100,88,88,-106.38
20251122_120132,SARSA,101,200,86,174,-159.38
20251122_120132,SARSA,201,300,46,220,-140.2
20251122_120132,SARSA,301,400,27,247,-87.23
20251122_120132,SARSA,401,500,19,266,-53.63
20251122_120132,SARSA,501,600,2,268,-28.63
20251122_120132,SARSA,601,700,5,273,-29.08
20251122_120132,SARSA,701,800,2,275,-24.41
20251122_120132,SARSA,801,900,3,278,-24.32
20251122_120132,SARSA,901,1000,1,279,-22.64
20251122_120132,SARSA,1001,1100,0,279,-21.14
20251122_120132,SARSA,1101,1200,0,279,-21.1
20251122_120132,SARSA,1201,1300,0,279,-20.67
20251122_120132,SARSA,1301,1400,0,279,-20.49
20251122_120132,SARSA,1401,1500,0,279,-20.34
20251122_120132,SARSA,1501,1600,0,279,-20.5
20251122_120132,SARSA,1601,1700,0,279,-20.34
20251122_120132,SARSA,1701,1800,0,279,-20.57
20251122_120132,SARSA,1801,1900,0,279,-20.47
20251122_120132,SARSA,1901,2000,0,279,-20.72
